MovementAxis;TestType;DesiredValue;HandPosition_X;HandPosition_Y;HandPosition_Z;Rotation_X;Rotation_Y;Rotation_Z;Time
X;Position;-0 50;0;0;0;0;0;180;2.67
X;Position;-0 25;-11.7;0;0;0;0;180;12.31
X;Position;-0 10;22.8;0;0;0;0;180;13.79
X;Position;-0 05;22.8;18.3;0;0;0;180;15.45
X;Position;0 00;22.8;18.3;29.6;0;0;180;17.52
X;Position;0 05;-8.9;18.3;29.6;0;0;180;19.53
X;Position;0 10;19.6;18.3;29.6;0;0;180;21.01
X;Position;0 25;19.6;31.9;29.6;0;0;180;22.47
X;Position;0 50;19.6;-3;29.6;0;0;180;24.96
Y;Position;-0 30;-3.7;-3;29.6;0;0;180;27.13
Y;Position;-0 15;-3.7;-3;37.5;0;0;180;28.73
Y;Position;-0 05;27;-3;37.5;0;0;180;30.35
Y;Position;0 00;27;34;37.5;0;0;180;32.62
Y;Position;0 05;-1.4;34;37.5;0;0;180;34.94
Y;Position;0 15;-1.4;-28;37.5;0;0;180;37.36
Y;Position;0 30;-1.4;-28;-3.6;0;0;180;39.07
Z;Position;-0 10;-72.7;-28;-3.6;0;0;180;41.29
Z;Position;-0 05;-72.7;-28;-3.6;0;0;180;41.67
Z;Position;0 00;-72.7;-28;-3.6;0;0;180;42.01
Z;Position;0 05;-72.7;-28;-3.6;0;0;180;42.6
Z;Position;0 10;-72.7;-28;-3.6;0;0;180;43.16
X;Rotation;-0 80;-72.7;-28;-3.6;0;0;144.99;47.69
X;Rotation;0 00;-72.7;-28;-3.6;0;0;203.54;49.05
X;Rotation;0 80;-72.7;-28;-3.6;46.18;0;203.54;50.9
Z;Rotation;-0 15;-72.7;-28;-3.6;298.36;0;203.54;52.74
Z;Rotation;0 00;-72.7;-28;-3.6;318.64;50.74;141.91;54.13
Z;Rotation;0 15;-72.7;-28;-3.6;338.03;9.53;195.13;57.19
Z;Rotation;-0 15;-72.7;-28;-3.6;338.03;9.53;195.13;59.34
Z;Rotation;0 00;-72.7;-28;-3.6;344;17.93;169.72;60.98
Z;Rotation;0 15;-72.7;-28;-3.6;352.25;22.63;147.23;63.06
