MovementAxis;TestType;DesiredValue;HandPosition_X;HandPosition_Y;HandPosition_Z;Rotation_X;Rotation_Y;Rotation_Z;Time
X;Position;-50;-70.58;230.24;1.92;79.37;348.13;354.49;5.8
X;Position;-30;-70.58;230.24;1.92;79.37;348.13;354.49;6
X;Position;-10;-70.58;230.24;1.92;79.46;348.05;353.35;6.14
X;Position;10;-70.58;230.24;1.92;79.37;348.13;354.49;6.28
X;Position;30;-70.58;230.24;1.92;79.37;348.13;354.49;6.51
X;Position;50;-70.58;230.24;1.92;79.37;348.13;354.49;9.02
Y;Position;-30;-70.58;230.24;1.92;79.37;348.13;354.49;9.32
Y;Position;-20;-70.58;230.24;1.92;79.37;348.13;354.49;9.57
Y;Position;-10;-70.58;230.24;1.92;79.37;348.13;354.49;9.74
Y;Position;10;-70.58;230.24;1.92;79.37;348.13;354.49;9.95
Y;Position;20;-70.58;230.24;1.92;88.11;345.13;350.15;10.69
Y;Position;30;-70.58;230.24;1.92;87.84;346.68;352.7;10.92
Z;Position;10;-70.58;230.24;1.92;88.04;345.31;351.34;11.42
Z;Position;30;-70.58;230.24;1.92;89.71;165.57;171.49;11.62
Z;Position;50;-70.58;230.24;1.92;89.17;345.44;351.41;12.05
X;Rotation;-90;-70.58;230.24;1.92;71.98;64.16;330.98;27.84
X;Rotation;0;-70.58;230.24;1.92;78.27;350.05;351.12;33.12
X;Rotation;90;-70.58;230.24;1.92;72.14;124.47;163.9;37.19
Y;Rotation;-30;-70.58;230.24;1.92;76.63;346.52;9.57;45.06
Y;Rotation;0;-70.58;230.24;1.92;81.69;347.6;357.04;47.75
Y;Rotation;30;-70.58;230.24;1.92;89.4;336.94;328.98;51.55
Z;Rotation;-80;-70.58;230.24;1.92;83.5;223.62;232.2;62.4
Z;Rotation;0;-70.58;230.24;1.92;88.4;171.22;181.07;64.22
Z;Rotation;80;-70.58;230.24;1.92;19.88;312.6;317.37;67.94
Z;Rotation;-80;-70.58;230.24;1.92;77.73;342.52;359.85;71.36
Z;Rotation;0;-70.58;230.24;1.92;85.99;348.9;1.13;75.25
Z;Rotation;80;-70.58;230.24;1.92;50.87;309.82;330.8;77.34
