MovementAxis;TestType;DesiredValue;HandPosition_X;HandPosition_Y;HandPosition_Z;Rotation_X;Rotation_Y;Rotation_Z;Time
X;Position;-50;0;0;0;0;0;180;3.34
X;Position;-25;-18.1;0;0;0;0;180;7.33
X;Position;-10;33;0;0;0;0;180;8.68
X;Position;-5;33;0;23.8;0;0;180;12.06
X;Position;0;-30.3;0;23.8;0;0;180;13.82
X;Position;5;22.9;0;23.8;0;0;180;15.75
X;Position;10;22.9;0;23.8;0;0;180;32.85
X;Position;25;22.9;0;-21.2;0;0;180;34.65
X;Position;50;-31.2;0;-21.2;0;0;180;35.84
Y;Position;-30;19.8;0;-21.2;0;0;180;37.62
Y;Position;-15;19.8;0;20.4;0;0;180;39.06
Y;Position;-5;19.8;40.1;20.4;0;0;180;41.23
Y;Position;0;19.8;-8.1;20.4;0;0;180;42.79
Y;Position;5;-27.6;-8.1;20.4;0;0;180;44.19
Y;Position;15;15;-8.1;20.4;0;0;180;45.67
Y;Position;30;15;-8.1;44.8;0;0;180;46.97
Z;Position;-10;-11.9;-8.1;44.8;0;0;180;49.05
Z;Position;-5;18.1;-8.1;44.8;0;0;180;50.62
Z;Position;0;18.1;-8.1;44.8;0;0;180;51.01
Z;Position;5;18.1;-8.1;44.8;0;0;180;51.66
Z;Position;10;18.1;-8.1;44.8;0;0;180;52.31
X;Rotation;-80;18.1;-8.1;44.8;350.62;0;194.4;59.73
X;Rotation;0;18.1;-8.1;44.8;312.89;0;194.4;60.99
X;Rotation;80;18.1;-8.1;44.8;321.6;330.27;237;62.74
Z;Rotation;-15;18.1;-8.1;44.8;332.86;40.12;132.83;63.97
Z;Rotation;0;18.1;-8.1;44.8;312.89;0.85;193.23;66.72
Z;Rotation;15;18.1;-8.1;44.8;295.02;335.09;226.9;84.41
Z;Rotation;-15;18.1;-8.1;44.8;295.02;335.09;226.9;84.73
