MovementAxis;TestType;DesiredValue;HandPosition_X;HandPosition_Y;HandPosition_Z;Rotation_X;Rotation_Y;Rotation_Z;Time
X;Position;-50;-70.58;230.24;1.92;82.9;349.39;351.45;8.15
X;Position;-30;-70.58;230.24;1.92;82.9;349.39;351.45;8.34
X;Position;-10;-70.58;230.24;1.92;83.91;350.92;352.99;8.46
X;Position;10;-70.58;230.24;1.92;82.64;351.94;352.98;8.57
X;Position;30;-70.58;230.24;1.92;81.54;350.52;352.6;8.65
X;Position;50;-70.58;230.24;1.92;80.3;350.47;353.63;8.76
Y;Position;-30;-70.58;230.24;1.92;80.43;349.53;354.83;8.87
Y;Position;-20;-70.58;230.24;1.92;83.9;351.96;351.96;9.18
Y;Position;-10;-70.58;230.24;1.92;84.16;349.63;351.69;9.36
Y;Position;10;-70.58;230.24;1.92;85.31;348.74;352.83;9.48
Y;Position;20;-70.58;230.24;1.92;85.1;349.03;355.16;9.73
Y;Position;30;-70.58;230.24;1.92;83.42;349.72;2.17;10.06
Z;Position;10;-70.58;230.24;1.92;83.92;354.3;0.49;25.14
Z;Position;30;-70.58;230.24;1.92;83.92;354.3;0.49;25.53
Z;Position;50;-70.58;230.24;1.92;84.14;353.15;0.37;26.61
X;Rotation;-90;-70.58;230.24;1.92;53.69;145.72;314.84;50.09
X;Rotation;0;-70.58;230.24;1.92;83.73;5.45;10.61;54.21
X;Rotation;90;-70.58;230.24;1.92;64.85;126.36;174.37;57.67
Y;Rotation;-30;-70.58;230.24;1.92;64.13;352.42;30.44;60.31
Y;Rotation;0;-70.58;230.24;1.92;85.84;6.13;11.2;61.75
Y;Rotation;30;-70.58;230.24;1.92;83.92;172.07;166.35;63.77
Z;Rotation;-80;-70.58;230.24;1.92;89.53;46.13;52.1;73.17
Z;Rotation;0;-70.58;230.24;1.92;88.41;0.06;13.07;77.3
Z;Rotation;80;-70.58;230.24;1.92;36.6;306.42;334.08;80.05
